feature,score
serviceability_score,0.5059394451038401
dti,0.28747720103411645
dti_norm,0.28557426670294905
credit_score_norm,0.27888399983009293
credit_score,0.25904522482242287
interest_rate_norm,0.09936492022009169
num_borrowers_norm,0.08893774950887101
interest_rate,0.0858882898073472
current_rate_max,0.08511575246142522
current_rate_avg,0.08457164874290157
current_rate_min,0.08346689490926185
num_borrowers,0.07793124215351588
num_units,0.0416717377790885
original_loan_term,0.03813647641272855
ever_zero_balance,0.02885694425345342
estimated_ltv_max,0.027191117633295736
delinquency_intensity,0.0271660644493954
avg_delinquency,0.026247106276350518
months_delinquent,0.02611401911965272
remaining_term_avg,0.025612197264718528
max_delinquency,0.02471963867409066
cltv,0.023457289378054025
property_valuation_method,0.02284461862184406
quarter_num,0.02169858043770656
ltv,0.021313177711526965
year,0.021152217436253284
ltv_norm,0.01969987697600084
maturity_date,0.018899256189063518
assistance_intensity,0.01736914165158021
ever_assistance,0.01695547311408241
assistance_count,0.016417272243520742
mortgage_insurance_pct,0.015287107536566147
postal_code,0.014695787645258473
loan_age_avg,0.009971809687325806
msa,0.009506652011983086
estimated_ltv_avg,0.007604131039391504
modification_count,0.006566521856019136
loan_age_max,0.006540725423128446
first_payment_date,0.00633270565145061
eltv_drift,0.005214143121377468
modification_intensity,0.0050259355732231725
original_upb,0.004349810026061718
ever_modified,0.004106600157821383
rate_volatility,0.0017218790655051386
